p,gap_bin,queries,queries_with_safein,queries_with_false_safein,safein,false_safein,false_rate,safein_share,false_share,avg_safein_per_query,avg_false_per_query
0.90,"(-999,-0.1]",93,4,0,4,0,0.0,0.0016109544905356424,0.0,0.043010752688172046,0.0
0.90,"(-0.1,-0.05]",394,47,0,56,0,0.0,0.022553362867498993,0.0,0.14213197969543148,0.0
0.90,"(-0.05,-0.02]",296,117,0,182,0,0.0,0.07329842931937172,0.0,0.6148648648648649,0.0
0.90,"(-0.02,0.0]",117,108,5,346,5,0.014450867052023121,0.13934756343133306,0.0049504950495049506,2.9572649572649574,0.042735042735042736
0.90,"(0.0,999]",100,100,63,1895,1005,0.5303430079155673,0.7631896898912606,0.995049504950495,18.95,10.05
0.95,"(-999,-0.1]",137,3,0,3,0,0.0,0.0021008403361344537,0.0,0.021897810218978103,0.0
0.95,"(-0.1,-0.05]",467,47,0,55,0,0.0,0.03851540616246499,0.0,0.11777301927194861,0.0
0.95,"(-0.05,-0.02]",244,98,0,149,0,0.0,0.10434173669467788,0.0,0.610655737704918,0.0
0.95,"(-0.02,0.0]",102,92,2,294,2,0.006802721088435374,0.20588235294117646,0.004140786749482402,2.8823529411764706,0.0196078431372549
0.95,"(0.0,999]",50,50,38,927,481,0.5188781014023732,0.6491596638655462,0.9958592132505176,18.54,9.62
0.97,"(-999,-0.1]",212,2,0,2,0,0.0,0.002372479240806643,0.0,0.009433962264150943,0.0
0.97,"(-0.1,-0.05]",487,38,0,41,0,0.0,0.04863582443653618,0.0,0.08418891170431211,0.0
0.97,"(-0.05,-0.02]",209,79,0,116,0,0.0,0.1376037959667853,0.0,0.5550239234449761,0.0
0.97,"(-0.02,0.0]",63,56,1,181,1,0.0055248618784530384,0.2147093712930012,0.003861003861003861,2.873015873015873,0.015873015873015872
0.97,"(0.0,999]",29,29,19,503,258,0.5129224652087475,0.5966785290628707,0.9961389961389961,17.344827586206897,8.89655172413793
