p,query_id,exact_kth_l2,T_minus_Rq,total_safein,total_false_safein,false_rate
0.90,328,1.250002861,0.056850314,84,74,0.8809523809523809
0.90,20,1.221292853,0.085560322,82,72,0.8780487804878049
0.90,136,1.225948453,0.080904722,73,63,0.863013698630137
0.90,602,1.255088806,0.051764369,62,52,0.8387096774193549
0.90,320,1.285208941,0.021644235,54,44,0.8148148148148148
0.90,599,1.26726222,0.039590955,53,44,0.8301886792452831
0.90,904,1.248252392,0.058600783,54,44,0.8148148148148148
0.90,354,1.251059175,0.055794001,50,40,0.8
0.90,71,1.260011077,0.046842098,47,38,0.8085106382978723
0.90,338,1.28523922,0.021613955,41,31,0.7560975609756098
0.95,328,1.250002861,0.046252489,67,57,0.8507462686567164
0.95,136,1.225948453,0.070306897,62,52,0.8387096774193549
0.95,20,1.221292853,0.074962497,57,47,0.8245614035087719
0.95,602,1.255088806,0.041166544,44,34,0.7727272727272727
0.95,904,1.248252392,0.048002958,43,33,0.7674418604651163
0.95,71,1.260011077,0.036244273,38,29,0.7631578947368421
0.95,354,1.251059175,0.045196176,38,28,0.7368421052631579
0.95,599,1.26726222,0.02899313,36,27,0.75
0.95,812,1.264788151,0.031467199,29,19,0.6551724137931034
0.95,87,1.237571716,0.058683634,27,17,0.6296296296296297
0.97,136,1.225948453,0.05992198,47,37,0.7872340425531915
0.97,328,1.250002861,0.035867572,45,35,0.7777777777777778
0.97,20,1.221292853,0.064577579,43,33,0.7674418604651163
0.97,602,1.255088806,0.030781627,37,27,0.7297297297297297
0.97,904,1.248252392,0.037618041,37,27,0.7297297297297297
0.97,354,1.251059175,0.034811258,30,20,0.6666666666666666
0.97,71,1.260011077,0.025859356,25,16,0.64
0.97,87,1.237571716,0.048298717,23,13,0.5652173913043478
0.97,599,1.26726222,0.018608212,21,12,0.5714285714285714
0.97,812,1.264788151,0.021082282,21,11,0.5238095238095238
